Country Code,variable,value
ABW,1960,
AFE,1960,186.1218347
AFG,1960,
AFW,1960,121.9399254
AGO,1960,
ALB,1960,
AND,1960,
ARB,1960,
ARE,1960,
ARG,1960,778.2517068
ARM,1960,
ASM,1960,
ATG,1960,
AUS,1960,1810.70643
AUT,1960,939.9148147
AZE,1960,
BDI,1960,70.90510003
BEL,1960,1290.286072
BEN,1960,89.85692465
BFA,1960,69.15024561
BGD,1960,82.48127741
BGR,1960,
BHR,1960,
BHS,1960,1459.253825
BIH,1960,
BLR,1960,
BLZ,1960,307.4145083
BMU,1960,1715.314632
BOL,1960,100.8150829
BRA,1960,235.2660095
BRB,1960,346.5754568
BRN,1960,
BTN,1960,
BWA,1960,58.91800811
CAF,1960,65.88296298
CAN,1960,2264.948497
CEB,1960,
CHE,1960,1954.311321
CHI,1960,
CHL,1960,516.4875391
CHN,1960,89.71507492
CIV,1960,148.680789
CMR,1960,119.0539412
COD,1960,220.0745502
COG,1960,124.6596704
COL,1960,258.3044336
COM,1960,
CPV,1960,
CRI,1960,382.3091218
CSS,1960,455.4904416
CUB,1960,
CUW,1960,
CYM,1960,
CYP,1960,
CZE,1960,
DEU,1960,1162.122668
DJI,1960,
DMA,1960,
DNK,1960,1389.021394
DOM,1960,205.7315099
DZA,1960,238.3924767
EAP,1960,90.27850187
EAR,1960,149.2099628
EAS,1960,150.8203054
ECA,1960,
ECS,1960,638.4810753
ECU,1960,450.7763171
EGY,1960,156.3873975
EMU,1960,930.6466981
ERI,1960,
ESP,1960,407.9630279
EST,1960,
ETH,1960,75.33960907
EUU,1960,796.5662865
FCS,1960,139.2313739
FIN,1960,1191.855089
FJI,1960,277.4315355
FRA,1960,1302.531497
FRO,1960,
FSM,1960,
GAB,1960,276.1361695
GBR,1960,1397.594803
GEO,1960,
GHA,1960,174.8588565
GIB,1960,
GIN,1960,
GMB,1960,
GNB,1960,
GNQ,1960,
GRC,1960,513.0858624
GRD,1960,
GRL,1960,
GTM,1960,256.8131153
GUM,1960,
GUY,1960,299.0746458
HIC,1960,1204.074231
HKG,1960,426.7738079
HND,1960,162.7741191
HPC,1960,132.9840277
HRV,1960,
HTI,1960,70.80244544
HUN,1960,
IBD,1960,161.7433422
IBT,1960,153.55805
IDA,1960,109.342007
IDB,1960,99.62563757
IDN,1960,
IDX,1960,118.1600702
IMN,1960,
IND,1960,84.93280848
INX,1960,
IRL,1960,706.5510223
IRN,1960,195.5775272
IRQ,1960,218.9178025
ISL,1960,1436.258854
ISR,1960,1452.48664
ITA,1960,836.9058503
JAM,1960,423.6740982
JOR,1960,
JPN,1960,508.7027793
KAZ,1960,
KEN,1960,102.8244175
KGZ,1960,
KHM,1960,
KIR,1960,
KNA,1960,221.5845861
KOR,1960,158.2741359
KWT,1960,
LAC,1960,320.0585322
LAO,1960,
LBN,1960,
LBR,1960,167.1714982
LBY,1960,269.0380731
LCA,1960,
LCN,1960,361.6772942
LDC,1960,114.7422291
LIC,1960,
LIE,1960,
LKA,1960,145.9287013
LMC,1960,104.4118772
LMY,1960,127.5993627
LSO,1960,46.95178027
LTE,1960,167.9609733
LTU,1960,
LUX,1960,2261.177418
LVA,1960,
MAC,1960,
MAF,1960,
MAR,1960,174.7841339
MCO,1960,
MDA,1960,
MDG,1960,131.6920183
MDV,1960,
MEA,1960,183.7761761
MEX,1960,355.0751996
MHL,1960,
MIC,1960,129.1211867
MKD,1960,
MLI,1960,
MLT,1960,
MMR,1960,25.08477572
MNA,1960,144.5287836
MNE,1960,
MNG,1960,
MNP,1960,
MOZ,1960,
MRT,1960,
MUS,1960,238.2510334
MWI,1960,
MYS,1960,240.8474146
NAC,1960,2935.349501
NAM,1960,
NCL,1960,
NER,1960,128.2512014
NGA,1960,93.13700904
NIC,1960,127.4838121
NLD,1960,1156.385977
NOR,1960,1451.285078
NPL,1960,50.21252337
NRU,1960,
NZL,1960,2334.133721
OED,1960,1311.37045
OMN,1960,83.38531052
OSS,1960,
PAK,1960,82.02410001
PAN,1960,477.037935
PER,1960,252.7967827
PHL,1960,269.4651465
PLW,1960,
PNG,1960,115.5304905
POL,1960,
PRE,1960,129.0055864
PRI,1960,717.5148431
PRK,1960,
PRT,1960,376.9764303
PRY,1960,153.3752168
PSE,1960,
PSS,1960,
PST,1960,1371.057186
PYF,1960,
QAT,1960,
ROU,1960,
RUS,1960,
RWA,1960,39.37407281
SAS,1960,85.19072066
SAU,1960,717.796629
SDN,1960,99.71311951
SEN,1960,300.4251152
SGP,1960,428.0561834
SLB,1960,
SLE,1960,142.0200184
SLV,1960,
SMR,1960,
SOM,1960,62.73962794
SRB,1960,
SSA,1960,166.386502
SSD,1960,
SSF,1960,158.0881263
SST,1960,
STP,1960,
SUR,1960,377.5793997
SVK,1960,
SVN,1960,
SWE,1960,2128.388844
SWZ,1960,101.5727998
SXM,1960,
SYC,1960,288.0581445
SYR,1960,183.5250697
TCA,1960,
TCD,1960,102.8194705
TEA,1960,91.38025715
TEC,1960,
TGO,1960,102.2389856
THA,1960,102.8145715
TJK,1960,
TKM,1960,
TLA,1960,355.8462401
TLS,1960,
TMN,1960,143.393041
TON,1960,
TSA,1960,85.19072066
TSS,1960,158.0881263
TTO,1960,633.9756084
TUN,1960,
TUR,1960,267.0912076
TUV,1960,
TZA,1960,275.2960205
UGA,1960,55.37849761
UKR,1960,
UMC,1960,146.4180202
URY,1960,491.0317603
USA,1960,3002.089295
UZB,1960,
VCT,1960,154.8399535
VEN,1960,939.1977666
VGB,1960,
VIR,1960,
VNM,1960,
VUT,1960,
WLD,1960,452.2631589
WSM,1960,
XKX,1960,
YEM,1960,
ZAF,1960,532.1475043
ZMB,1960,221.5598489
ZWE,1960,276.4197841
ABW,1961,
AFE,1961,186.9417814
AFG,1961,
AFW,1961,127.4541888
AGO,1961,
ALB,1961,
AND,1961,
ARB,1961,212.8896634
ARE,1961,
ARG,1961,971.3380433
ARM,1961,
ASM,1961,
ATG,1961,
AUS,1961,1877.707064
AUT,1961,1036.728204
AZE,1961,
BDI,1961,71.60192994
BEL,1961,1367.788852
BEN,1961,92.08584813
BFA,1961,72.24237871
BGD,1961,90.36857863
BGR,1961,
BHR,1961,
BHS,1961,1555.046608
BIH,1961,
BLR,1961,
BLZ,1961,320.0294767
BMU,1961,1773.995316
BOL,1961,107.4434777
BRA,1961,231.5640633
BRB,1961,366.1354991
BRN,1961,
BTN,1961,
BWA,1961,62.32240069
CAF,1961,70.98812592
CAN,1961,2246.083566
CEB,1961,
CHE,1961,2155.449969
CHI,1961,
CHL,1961,594.4363062
CHN,1961,75.96550111
CIV,1961,162.2627644
CMR,1961,124.5931656
COD,1961,197.0803952
COG,1961,139.8720744
COL,1961,282.0994405
COM,1961,
CPV,1961,
CRI,1961,355.8444479
CSS,1961,486.57113
CUB,1961,
CUW,1961,
CYM,1961,
CYP,1961,
CZE,1961,
DEU,1961,1315.907878
DJI,1961,
DMA,1961,
DNK,1961,1530.53779
DOM,1961,193.9089888
DZA,1961,209.3706727
EAP,1961,79.55850823
EAR,1961,158.3568814
EAS,1961,151.7238599
ECA,1961,
ECS,1961,694.4275391
ECU,1961,371.3951765
EGY,1961,162.8416442
EMU,1961,1026.605406
ERI,1961,
ESP,1961,463.1904409
EST,1961,
ETH,1961,76.73019664
EUU,1961,877.7512585
FCS,1961,142.3171459
FIN,1961,1341.499006
FJI,1961,280.2733667
FRA,1961,1394.535571
FRO,1961,
FSM,1961,
GAB,1961,323.4592027
GBR,1961,1472.385714
GEO,1961,
GHA,1961,181.8700108
GIB,1961,
GIN,1961,
GMB,1961,
GNB,1961,
GNQ,1961,
GRC,1961,582.5635036
GRD,1961,
GRL,1961,
GTM,1961,257.2021506
GUM,1961,
GUY,1961,319.0177548
HIC,1961,1268.771776
HKG,1961,436.7544115
HND,1961,167.9204919
HPC,1961,133.9717146
HRV,1961,
HTI,1961,68.9905651
HUN,1961,
IBD,1961,161.8498575
IBT,1961,154.2638422
IDA,1961,112.693024
IDB,1961,104.2700209
IDN,1961,
IDX,1961,120.8672024
IMN,1961,
IND,1961,87.85386135
INX,1961,
IRL,1961,761.8513596
IRN,1961,200.0815293
IRQ,1961,232.3926122
ISL,1961,1439.449724
ISR,1961,1697.29358
ITA,1961,923.0877838
JAM,1961,447.0572737
JOR,1961,
JPN,1961,608.8645811
KAZ,1961,
KEN,1961,99.27169571
KGZ,1961,
KHM,1961,
KIR,1961,
KNA,1961,225.5991276
KOR,1961,93.83138319
KWT,1961,
LAC,1961,344.8498904
LAO,1961,
LBN,1961,
LBR,1961,157.5046865
LBY,1961,285.3415809
LCA,1961,
LCN,1961,389.5116288
LDC,1961,117.137585
LIC,1961,
LIE,1961,
LKA,1961,145.9009451
LMC,1961,108.5747169
LMY,1961,127.4565881
LSO,1961,47.04646363
LTE,1961,155.8088335
LTU,1961,
LUX,1961,2241.360032
LVA,1961,
MAC,1961,
MAF,1961,
MAR,1961,169.3184357
MCO,1961,
MDA,1961,
MDG,1961,133.2712329
MDV,1961,
MEA,1961,191.1969782
MEX,1961,373.712217
MHL,1961,
MIC,1961,129.0713903
MKD,1961,
MLI,1961,
MLT,1961,
MMR,1961,27.26545412
MNA,1961,146.9720073
MNE,1961,
MNG,1961,
MNP,1961,
MOZ,1961,
MRT,1961,188.1584016
MUS,1961,281.6830814
MWI,1961,
MYS,1961,232.9437688
NAC,1961,2988.812671
NAM,1961,
NCL,1961,
NER,1961,134.6350943
NGA,1961,97.13752811
NIC,1961,132.9435072
NLD,1961,1254.420283
NOR,1961,1570.638044
NPL,1961,51.55448207
NRU,1961,
NZL,1961,2364.753839
OED,1961,1379.679072
OMN,1961,84.53116464
OSS,1961,
PAK,1961,87.7778247
PAN,1961,516.4598619
PER,1961,276.6414001
PHL,1961,283.7947412
PLW,1961,
PNG,1961,119.6563259
POL,1961,
PRE,1961,130.6726791
PRI,1961,777.2150274
PRK,1961,
PRT,1961,400.2231621
PRY,1961,167.0928275
PSE,1961,
PSS,1961,
PST,1961,1443.415396
PYF,1961,
QAT,1961,
ROU,1961,
RUS,1961,
RWA,1961,39.2689715
SAS,1961,88.53744014
SAU,1961,760.3117403
SDN,1961,105.3131027
SEN,1961,308.1663838
SGP,1961,449.1481368
SLB,1961,
SLE,1961,142.3378678
SLV,1961,
SMR,1961,
SOM,1961,64.92425761
SRB,1961,
SSA,1961,169.3403399
SSD,1961,
SSF,1961,160.8922012
SST,1961,
STP,1961,
SUR,1961,394.8077466
SVK,1961,
SVN,1961,
SWE,1961,2304.497886
SWZ,1961,121.7957188
SXM,1961,
SYC,1961,270.2796466
SYR,1961,196.2935616
TCA,1961,
TCD,1961,107.3203805
TEA,1961,80.55431401
TEC,1961,
TGO,1961,104.8307489
THA,1961,109.7287943
TJK,1961,
TKM,1961,
TLA,1961,383.1213373
TLS,1961,
TMN,1961,145.8170652
TON,1961,
TSA,1961,88.53744014
TSS,1961,160.8922012
TTO,1961,677.713824
TUN,1961,200.6718354
TUR,1961,274.3508909
TUV,1961,
TZA,1961,285.1567993
UGA,1961,56.17592781
UKR,1961,
UMC,1961,143.6067659
URY,1961,603.9665132
USA,1961,3062.974116
UZB,1961,
VCT,1961,163.0367416
VEN,1961,954.0383306
VGB,1961,
VIR,1961,
VNM,1961,
VUT,1961,
WLD,1961,471.5197973
WSM,1961,
XKX,1961,
YEM,1961,
ZAF,1961,545.6575119
ZMB,1961,209.6932064
ZWE,1961,279.0164892
ABW,1962,
AFE,1962,197.4024024
AFG,1962,
AFW,1962,133.8270443
AGO,1962,
ALB,1962,
AND,1962,
ARB,1962,210.8054148
ARE,1962,
ARG,1962,870.2174909
ARM,1962,
ASM,1962,
ATG,1962,
AUS,1962,1854.746154
AUT,1962,1093.014191
AZE,1962,
BDI,1962,73.41959798
BEL,1962,1457.26517
BEN,1962,90.77386101
BFA,1962,77.15292793
BGD,1962,92.58942118
BGR,1962,
BHR,1962,
BHS,1962,1651.218619
BIH,1962,
BLR,1962,
BLZ,1962,331.7047943
BMU,1962,1824.182283
BOL,1962,115.0790596
BRA,1962,250.2005729
BRB,1962,377.4384564
BRN,1962,
BTN,1962,
BWA,1962,65.9864503
CAF,1962,70.40422927
CAN,1962,2274.428471
CEB,1962,
CHE,1962,2330.477365
CHI,1962,
CHL,1962,678.5843366
CHN,1962,71.0616846
CIV,1962,163.0766797
CMR,1962,130.0425699
COD,1962,235.1272906
COG,1962,149.5912499
COL,1962,298.5438617
COM,1962,
CPV,1962,
CRI,1962,335.221589
CSS,1962,507.8473341
CUB,1962,
CUW,1962,
CYM,1962,
CYP,1962,
CZE,1962,
DEU,1962,1430.520955
DJI,1962,
DMA,1962,
DNK,1962,1711.218138
DOM,1962,236.8147
DZA,1962,169.6028627
EAP,1962,71.61552905
EAR,1962,156.1364366
EAS,1962,153.1658851
ECA,1962,
ECS,1962,750.796641
ECU,1962,312.4354102
EGY,1962,142.4095767
EMU,1962,1125.784138
ERI,1962,
ESP,1962,535.3910595
EST,1962,
ETH,1962,77.79018498
EUU,1962,962.0890524
FCS,1962,153.8911898
FIN,1962,1426.667564
FJI,1962,285.473073
FRA,1962,1547.620259
FRO,1962,
FSM,1962,
GAB,1962,348.4168201
GBR,1962,1525.775853
GEO,1962,
GHA,1962,188.4210163
GIB,1962,
GIN,1962,
GMB,1962,
GNB,1962,
GNQ,1962,132.9118591
GRC,1962,608.4755155
GRD,1962,
GRL,1962,
GTM,1962,265.2106518
GUM,1962,
GUY,1962,327.3925792
HIC,1962,1355.705621
HKG,1962,487.8211341
HND,1962,177.6987293
HPC,1962,142.2444436
HRV,1962,
HTI,1962,70.44646171
HUN,1962,
IBD,1962,160.9744716
IBT,1962,154.6591829
IDA,1962,118.243686
IDB,1962,108.5227306
IDN,1962,
IDX,1962,127.3213746
IMN,1962,
IND,1962,92.19995836
INX,1962,
IRL,1962,821.3441131
IRN,1962,205.7868097
IRQ,1962,240.6534425
ISL,1962,1585.721438
ISR,1962,1293.569137
ITA,1962,1030.158003
JAM,1962,458.3139978
JOR,1962,
JPN,1962,684.5655098
KAZ,1962,
KEN,1962,104.6004559
KGZ,1962,
KHM,1962,
KIR,1962,
KNA,1962,230.2865411
KOR,1962,106.1597028
KWT,1962,4748.392844
LAC,1962,346.6458355
LAO,1962,
LBN,1962,
LBR,1962,160.280325
LBY,1962,382.0845057
LCA,1962,
LCN,1962,398.1859169
LDC,1962,123.7803484
LIC,1962,
LIE,1962,
LKA,1962,141.3831978
LMC,1962,107.5616171
LMY,1962,126.9187426
LSO,1962,53.54212544
LTE,1962,156.6900396
LTU,1962,
LUX,1962,2331.556858
LVA,1962,
MAC,1962,
MAF,1962,
MAR,1962,193.6478119
MCO,1962,
MDA,1962,
MDG,1962,137.3080073
MDV,1962,
MEA,1962,185.3017672
MEX,1962,388.4567024
MHL,1962,
MIC,1962,127.9827095
MKD,1962,
MLI,1962,
MLT,1962,
MMR,1962,27.94700397
MNA,1962,145.8316687
MNE,1962,
MNG,1962,
MNP,1962,
MOZ,1962,
MRT,1962,188.9951466
MUS,1962,282.3423862
MWI,1962,
MYS,1962,238.8363392
NAC,1962,3153.793455
NAM,1962,
NCL,1962,
NER,1962,143.1508241
NGA,1962,104.5324955
NIC,1962,142.3035236
NLD,1962,1342.368272
NOR,1962,1678.267257
NPL,1962,54.56560893
NRU,1962,
NZL,1962,2471.055009
OED,1962,1471.839643
OMN,1962,102.3258899
OSS,1962,
PAK,1962,89.50395258
PAN,1962,545.5704463
PER,1962,304.5378175
PHL,1962,166.6892214
PLW,1962,
PNG,1962,124.7345488
POL,1962,
PRE,1962,139.768555
PRI,1962,854.744805
PRK,1962,
PRT,1962,426.4943363
PRY,1962,182.8051941
PSE,1962,
PSS,1962,
PST,1962,1543.417306
PYF,1962,
QAT,1962,
ROU,1962,
RUS,1962,
RWA,1962,39.23384405
SAS,1962,92.4759784
SAU,1962,812.9262477
SDN,1962,111.2134552
SEN,1962,307.0925651
SGP,1962,472.0827402
SLB,1962,
SLE,1962,146.3864746
SLV,1962,
SMR,1962,
SOM,1962,67.17023599
SRB,1962,
SSA,1962,178.9670351
SSD,1962,
SSF,1962,169.6844134
SST,1962,
STP,1962,
SUR,1962,409.1056384
SVK,1962,
SVN,1962,
SWE,1962,2485.494147
SWZ,1962,127.0957664
SXM,1962,
SYC,1962,287.0447735
SYR,1962,223.9342091
TCA,1962,
TCD,1962,112.619958
TEA,1962,72.5209927
TEC,1962,
TGO,1962,107.7612095
THA,1962,116.1794933
TJK,1962,
TKM,1962,
TLA,1962,390.8592194
TLS,1962,
TMN,1962,144.6856876
TON,1962,
TSA,1962,92.4759784
TSS,1962,169.6844134
TTO,1962,703.6208041
TUN,1962,201.4191669
TUR,1962,298.2410209
TUV,1962,
TZA,1962,303.9974365
UGA,1962,55.50487046
UKR,1962,
UMC,1962,142.5899044
URY,1962,659.3937169
USA,1962,3241.857659
UZB,1962,
VCT,1962,166.5019452
VEN,1962,1006.559408
VGB,1962,
VIR,1962,
VNM,1962,
VUT,1962,
WLD,1962,495.7868539
WSM,1962,
XKX,1962,
YEM,1962,
ZAF,1962,563.4230088
ZMB,1962,202.2810312
ZWE,1962,275.5456083
ABW,1963,
AFE,1963,225.4404936
